grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,7,1,2,0.77468,1.6425,0.6125,1.0395,0.37821,3.2401,3.2192,0.39405,0.28076,0.74104,0.38426,0.93141,0.67295,0.8048,0.70056,2.6715
2,7,1,2,0.69392,1.4145,0.4895,0.9075,0.35776,3.7624,3.9334,0.23511,0.37339,0.71616,0.36289,0.83007,0.63052,0.80946,0.61858,3.1416
2,7,1,2,0.83943,1.4875,0.497,0.9695,0.34425,3.5778,3.5401,0.18792,0.31196,0.77987,0.35368,0.93228,0.72408,0.90905,0.68879,2.7553
2,7,2,1,0.818,0.2795,0.1385,0.1395,0.5,9.3004,11.228,1,1.8834,0.8255,0.14906,0.81334,0.93247,0.81455,0.76563,1.1435
2,7,2,1,0.85225,0.3075,0.1575,0.1505,0.50959,8.4536,8.6143,1,1.6276,0.81472,0.22205,0.85665,0.89489,0.79488,0.74418,1.0777
2,7,2,1,0.86212,0.281,0.1445,0.139,0.5092,9.2508,11.554,1,1.8029,0.86053,0.1441,0.85668,0.89224,0.85839,0.81847,0.95364
2,7,2,2,0.8426,1.187,0.4045,0.779,0.34399,4.4835,4.6766,0.076179,0.42379,0.78922,0.33986,0.92852,0.72079,0.886,0.73682,1.5708
2,7,2,2,0.80246,1.187,0.417,0.795,0.34824,4.4835,4.9617,0.069453,0.40537,0.80706,0.32424,0.92842,0.72698,0.89128,0.75682,3.1416
2,7,2,2,0.87124,1.1035,0.4045,0.7145,0.35897,4.8228,5.3388,0.15849,0.43403,0.83093,0.33415,0.98477,0.79585,0.89048,0.77703,3.1416
2,7,3,1,0.80799,0.2585,0.1295,0.127,0.50915,10.056,13.195,1,1.8717,0.81921,0.11915,0.84921,0.86402,0.79508,0.78225,0.65246
2,7,3,1,0.82458,0.2225,0.115,0.1095,0.52013,11.684,16.677,1,2.2461,0.82482,0.15556,0.83522,0.86431,0.82236,0.81714,1.0783
2,7,3,1,0.83678,0.2225,0.1155,0.109,0.51519,11.683,15.01,1,2.2461,0.84068,0.10204,0.82057,0.87077,0.84354,0.82266,0.75912
2,7,3,2,0.80065,1.118,0.4,0.72,0.37112,4.7602,5.064,0.083672,0.43634,0.79373,0.30037,0.88043,0.76252,0.86948,0.71389,3.1416
